,imdb,sst-2,ag_news,trec-6,qqp,mrpc,qnli,mnli,rte,avg
bert_acc,91.7,91.9,94.19999999999999,76.9,90.3,82.3,90.60000000000001,83.7,63.3,84.99
distilbert_acc,90.4,90.2,94.3,82.1,89.3,81.0,88.3,81.5,57.3,83.82
bert_ece|vanilla,2.33,4.12,1.82,13.22,2.46,2.83,2.31,3.65,5.99,4.3
distilbert_ece|vanilla,1.6099999999999999,5.33,1.59,8.540000000000001,2.31,2.63,1.58,3.09,3.65,3.37
bert_ece|mc5,1.83,3.5000000000000004,1.5599999999999998,12.379999999999999,1.71,2.12,1.73,1.79,4.06,3.41
distilbert_ece|mc5,1.29,4.78,1.54,7.199999999999999,1.7399999999999998,2.67,0.8999999999999999,1.28,3.18,2.73
bert_ece|mc20,1.78,3.6700000000000004,1.59,11.48,1.6099999999999999,2.64,1.48,1.69,4.55,3.39
distilbert_ece|mc20,1.27,4.58,1.46,7.32,1.63,2.77,0.8699999999999999,1.22,3.5999999999999996,2.75
bert_ece|temp_scale,10.879999999999999,2.96,2.5100000000000002,13.77,2.65,5.07,1.27,4.68,3.9899999999999998,5.31
distilbert_ece|temp_scale,,4.66,,,2.16,2.77,9.32,3.3000000000000003,2.5,4.12
bert_ece|bayes-vanilla,1.38,3.2099999999999995,2.09,10.280000000000001,2.4299999999999997,2.68,2.1399999999999997,3.4299999999999997,9.27,4.1
distilbert_ece|bayes-vanilla,1.73,5.86,1.69,9.9,1.9300000000000002,2.54,1.5699999999999998,2.93,4.9,3.67
bert_ece|bayes-mc5,1.15,2.86,1.94,9.69,1.52,2.34,2.11,1.46,7.75,3.42
distilbert_ece|bayes-mc5,1.25,5.09,1.52,7.99,1.44,2.0500000000000003,1.06,1.1400000000000001,4.97,2.95
