metric,model,method,imdb,sst-2,ag_news,trec-6,qqp,mrpc,qnli,mnli,rte,avg
accuracy,bert,vanilla,91.7,91.9,94.2,76.9,90.3,82.3,90.6,83.7,63.3,84.99
accuracy,bert,temp_scale,91.7,91.9,94.2,76.9,90.3,82.3,90.6,83.7,63.3,84.99
accuracy,bert,mc5,91.5,91.6,94.3,74.9,90.3,82.1,90.3,83.7,64.3,84.78
accuracy,bert,mc20,91.5,91.7,94.2,75.0,90.3,82.2,90.5,83.9,64.0,84.81
accuracy,bert,UA,91.4,92.6,94.4,80.0,90.3,81.6,90.8,83.9,61.8,85.2
accuracy,bert,UA + MC,91.2,92.3,94.4,77.5,90.2,81.1,90.5,83.8,63.0,84.89
accuracy,distilbert,vanilla,90.4,90.2,94.3,82.1,89.3,81.0,88.3,81.5,57.3,83.82
accuracy,distilbert,temp_scale,90.4,90.2,94.3,82.1,89.3,81.0,88.3,81.5,57.3,83.82
accuracy,distilbert,mc5,90.3,89.9,94.2,80.8,89.3,80.7,88.1,81.1,57.4,83.53
accuracy,distilbert,mc20,90.4,90.1,94.3,80.9,89.4,80.7,88.1,81.3,57.5,83.63
accuracy,distilbert,UA,90.6,90.0,94.3,81.5,89.2,81.1,87.5,81.6,58.8,83.84
accuracy,distilbert,UA + MC,90.4,89.9,94.3,80.8,89.0,80.5,87.3,81.1,57.6,83.43
ece,bert,vanilla,2.33,4.12,1.82,13.22,2.46,2.83,2.31,3.65,5.99,4.3
ece,bert,temp_scale,1.38,2.06,0.8,11.2,0.67,2.96,1.7,0.82,4.69,2.92
ece,bert,mc5,1.83,3.5,1.56,12.38,1.71,2.12,1.73,1.79,4.06,3.41
ece,bert,mc20,1.78,3.67,1.59,11.48,1.61,2.64,1.48,1.69,4.55,3.39
ece,bert,UA,1.38,3.21,2.09,10.28,2.43,2.68,2.14,3.43,9.27,4.1
ece,bert,UA + MC,1.15,2.86,1.94,9.69,1.52,2.34,2.11,1.46,7.75,3.42
ece,distilbert,vanilla,1.61,5.33,1.59,8.54,2.31,2.63,1.58,3.09,3.65,3.37
ece,distilbert,temp_scale,1.08,3.42,0.55,6.96,0.55,2.65,1.17,0.9,2.21,2.17
ece,distilbert,mc5,1.29,4.78,1.54,7.2,1.74,2.67,0.9,1.28,3.18,2.73
ece,distilbert,mc20,1.27,4.58,1.46,7.32,1.63,2.77,0.87,1.22,3.6,2.75
ece,distilbert,UA,1.73,5.86,1.69,9.9,1.93,2.54,1.57,2.93,4.9,3.67
ece,distilbert,UA + MC,1.25,5.09,1.52,7.99,1.44,2.05,1.06,1.14,4.97,2.95
